"","City","Name","Country","UN.Region.Level.1","UN.Region.Level.2","id","lang","CollectorNm","RespondentID","CollectorID","StartDate","EndDate","IPAddress","EmailAddress","FirstName","LastName","CustomData","q01","q01x","q0201","q0202","q0203","q0204","q03","q04","q04x","q0501a","q0501b","q0502a","q0502b","q0503a","q0503b","q0504a","q0504b","q0505a","q0505b","q0506a","q0506b","q0507a","q0507b","q0508a","q0508b","q05x","q0601","q0602","q0603","q0701","q0702","q0703","q0704","q0705","q0706","q08","q0901","q0902","q10","q10x","q11","q11x","q12","q13","q1401","q14x","q1501","q1502","q1503","q1504","q15x","q1601","q1602","q1603","q1604","q16x","q1701","q17x","q1801","q1802","q1803","q1804","q18x","q19","q19x","q20","q20x","q21","q21x","q22","q23","q2401","q2402","q2403","q2404","q2405","q2501a","q2501b","q2501c","q2501d","q2501e","q2501f","q2502a","q2502b","q2502c","q2502d","q2502e","q2502f","q2503a","q2503b","q2503c","q2503d","q2503e","q2503f","q2504a","q2504b","q2504c","q2504d","q2504e","q2504f","q2505a","q2505b","q2505c","q2505d","q2505e","q2505f","q2506a","q2506b","q2506c","q2506d","q2506e","q2506f","q2507a","q2507b","q2507c","q2507d","q2507e","q2507f","q2508a","q2508b","q2508c","q2508d","q2508e","q2508f","q2509a","q2509b","q2509c","q2509d","q2509e","q2509f","q2510a","q2510b","q2510c","q2510d","q2510e","q2510f","q2511a","q2511b","q2511c","q2511d","q2511e","q2511f","q25x","q2601","q2602","q2603","q2604","q2605","q2606","q2607","q2608","q26x","q27","q28","q29","q29x","q30","q31","q31x","q32a","q32b","q32x","q3301","q3302","q3303","q3304","q3305","q3306","q3307","q3308","q3309","q3310","q33x","q34","q34x","q35","q35x","q3601","q3602","q3603","q3701","q3702","q3703","q3704","q3705","q3706","q3707","q3708","q37x","q3801","q3802","q3803","q3804","q3805","q3806","q3807","q3808","q3809","q3810","q3811","q3812","q3813","q38x","q39","q4001a","q4001b","q4001c","q4001d","q4001e","q4001f","q4002a","q4002b","q4002c","q4002d","q4002e","q4002f","q4003a","q4003b","q4003c","q4003d","q4003e","q4003f","q4004a","q4004b","q4004c","q4004d","q4004e","q4004f","q4005a","q4005b","q4005c","q4005d","q4005e","q4005f","q4006a","q4006b","q4006c","q4006d","q4006e","q4006f","q4007a","q4007b","q4007c","q4007d","q4007e","q4007f","q4008a","q4008b","q4008c","q4008d","q4008e","q4008f","q4009a","q4009b","q4009c","q4009d","q4009e","q4009f","q4010a","q4010b","q4010c","q4010d","q4010e","q4010f","q4011a","q4011b","q4011c","q4011d","q4011e","q4011f","q4012a","q4012b","q4012c","q4012d","q4012e","q4012f","q4013a","q4013b","q4013c","q4013d","q4013e","q4013f","q4014a","q4014b","q4014c","q4014d","q4014e","q4014f","q4015a","q4015b","q4015c","q4015d","q4015e","q4015f","q4016a","q4016b","q4016c","q4016d","q4016e","q4016f","q4017a","q4017b","q4017c","q4017d","q4017e","q4017f","q4018a","q4018b","q4018c","q4018d","q4018e","q4018f","q4019a","q4019b","q4019c","q4019d","q4019e","q4019f","q4020a","q4020b","q4020c","q4020d","q4020e","q4020f","q40x","q41","nQ","iQ","X41","Univ","Answered","Completion"
"38","Lisbon","Lisbon","Portugal","Western Europe","Europe",106,"en",,,,,,,,,,,184,"Lisbon",,,,,1,1,"",1,,1,,,,,,,,,,,,1,,"Municipal Parliament",547733,"2011","Instituto Nacional de Estatística - www.ine.pt","2013","45%","2009","53.58%","2007 (extraordinary elections)","37.60%",,12,12,43,"485.3 million €",43,"491.6 million €",1,2,8,,7,3,3,2,"Property rents and """"others"""" category",1,2,12,1,"",11,"",11,11,11,11,"",1,,3,"Variable amount, defined nationally on a yearly basis according to ratio of debt/revenues.",1,,"Metropolitan Area of Lisbon",1,"Freguesias","","","","",1,2,2,,4,,2,4,2,,3,,2,3,2,,4,,3,3,1,,3,,3,3,2,,4,,3,4,1,,4,,2,2,1,,4,,3,3,1,,4,,1,3,1,,4,,1,2,1,,4,,2,3,2,,4,,"",1,1,1,1,1,,,,"",2,"",1,,"There is a Municipal good practices commitee that receives complaints and produces reports. Citizens can address the Municipal Assembly in public meetings. There are also public monthly meetings of the executive council open to citizen participation.",1,,6,3,"Carta Estratégica de Lisboa 2010-2024",,,,,,1,1,,,,"",3,"",,"","Management of public transports","Urban regeneration","Financial sustainability",1,1,1,1,1,,,,"",1,1,,,1,1,,,,,1,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","There should be questions about non-public involvement in local policies with a similar detail to the financial aspects. This answer reflects individual views, statistical data was collected in official sources.",125,38.46,,40,"#VALUE!","#VALUE!"
"39","Liverpool City Council","Liverpool","United Kingdom","Northern Europe","Europe",68,"en",,,,,,,,,,,76,"Liverpool City Council",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",469700,"2012","ONS, mid year estimate","2014","30.70%","2012","32.10%","2011","36.20%",6349,12,12,46,"1360701000",46,"885516000",1,2,4,,8,3,2,2,"Rents",1,9,2,2,"National Health Service",11,"",11,11,11,11,"We are working with central government on ONE PUBLIC ESTATE initiative to calculate this",1,,1,"Prudential borrowing is potentially unlimited but in reality there is a self imposed cap",1,,"Halton, Knowsley, Liverpool, Sefton, St Helens and Wirral Combined authority - (aka Liverpool City Region Combined Authority)",2,"","","","","",,4,4,,4,,,4,2,,4,,,3,3,,3,,,4,,,,,,3,2,,3,3,,1,,,3,,,3,,,4,,,2,,,4,,,3,2,3,3,,,2,4,,4,,,4,,3,2,,"",1,1,1,1,,,,,"",2,"",1,,"Local Government Ombudsman is an independent body for allegations and complaints.   Internal and external audit.",1,,1,3,"Local development Scheme",1,1,1,1,1,1,1,1,,,"",1,"Accountable to combined authority (6 local authorities)",8,"Bus, underground and suburban Rail - form would only allow 1 entry","Economic Regeneration and restructuring","Multiple deprivation among residents - poverty, health, unemployment etc","Resources, budget and financial sustainability",1,1,1,1,1,,,,"",1,,,,1,1,1,1,1,1,,,,"",1,,4,,,2,,,3,,,2,,,3,,,2,,,3,,,2,,,4,,,,,,2,4,,,,,,2,,3,,,,,,,,,,,,,,,,4,,2,,,,4,,2,,,,4,,2,,,,4,,2,,,3,,,2,,,3,,,2,,,3,,,2,,,3,,,2,,,3,,,2,,,3,,,2,,,4,,,,,"","",154,47.38,,39,"#VALUE!","#VALUE!"
"40","London","London","United Kingdom","Northern Europe","Europe",116,"en",,,,,,,,,,,76,"London",,,,,1,1,"",1,1,,1,,,,,,,,,,,,,"Directly elected Mayor and 25 elected London Assembly members.",8416500,"2013","Office for National Statistics, Mid-Year Population Estimate","2012","38.00%","2008","45.00%","2004","37.00%",727,12,12,46,"17529300000",46,"11121800000",1,2,8,,12,6,12,12,"",12,12,12,12,"",11,"",11,11,11,11,"",1,,2,"",2,,"",1,"33 London Boroughs","","","","",2,4,,,2,,2,4,,,2,,2,4,,,3,,3,2,,,4,,2,3,,,4,,1,2,,,4,,2,2,,,4,,2,3,,,4,,2,4,,,4,,3,4,,,4,,3,3,,,3,,"",1,1,,1,,,,,"",2,"",1,,"Anti-Fraud and Corruption Strategy  Staff Whistleblowing Guidance",1,,4,4,"London Plan (also other plans such as London Infrastructure Plan (in consultation) and the Economic Development Strategy)",1,1,1,,1,,1,1,,,"",2,"",13,"All of the above, with exception of motorbike; local smaller roads, and highways.","Fiscal Devolution","Infrastructure Planning","Spatial Planning",,,1,1,,,,,"",,,,,,,,,,,,,,"",1,2,3,,,1,,2,4,,,2,,1,1,,,2,,3,2,,,2,,1,3,,,1,,1,4,,,2,,2,4,,,2,,1,4,,,3,,2,4,,,1,,1,4,,,3,,2,4,,,1,,1,2,,,4,,2,3,,,3,,2,2,,,3,,3,3,,,1,,2,2,,,4,,3,3,,,2,,2,2,,,4,,2,3,,,4,,3,3,,,4,,"","",167,51.38,,39,"#VALUE!","#VALUE!"
"41","Lousada","Lousada","Portugal","Southern Europe","Europe",112,"en",,,,,,,,,,,184,"Lousada",,,,,1,1,"",,,1,,,,,,,,,,,,,1,"Assembleia Municipal",47387,"2011","INE","2013","69,79","2009","75,21","2005","76,01",653,3,4,43,"24.751.786,82",43,"24.748.260,02",1,1,4,,8,5,2,,"",,8,3,,"",3,"",2,2,,,"",1,,3,"",1,,"Comunidade Intermunicipal Tâmega e Sousa",1,"Freguesia","","","","",1,2,3,1,4,,2,4,3,1,3,,1,2,2,1,4,,2,3,2,1,4,,1,2,2,1,4,,1,2,2,1,4,,1,2,2,1,4,,2,3,2,1,4,,1,2,1,1,3,,1,2,1,1,4,,2,3,3,1,2,,"",1,1,,,1,,,,"",2,"",1,,"Plano de Prevenção de Riscos de Corrupção e Infrações Conexas",2,,,,"",,,,,,,,,,,"",3,"",,"","Budget restrictions","Central Policies","Economic Climate",1,,,1,1,,,,"",1,,,,1,1,,,,,1,,,"",1,2,3,1,1,1,,2,3,1,1,1,,2,3,1,1,1,,2,3,1,1,1,,2,4,1,1,1,,1,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,1,3,,2,4,1,1,3,,1,2,1,1,4,,1,2,1,1,4,,,,,,,,,,,,,,,,,,,,"","",168,51.69,,39,"#VALUE!","#VALUE!"
"42","Madrid","Madrid","Spain","Southern Europe","Europe",193,"es",,,,,,,,,,,66,"Madrid",,,,,1,2,"",1,,,1,1,,,,,,,,,,,,"",3166130,"2014 (1 de enero)","Padrón municipal. DG Estadística Ayuntamiento de Madrid","2011","67,22%","2007","65,93%","2003","68,90%",26822,,,43,"4.874.730.179  (Liquidación 2013, Consolidado delimitación SEC-95 con ajustes de Contabilidad Nacional)",43,"5.300.968.446 (Liquidación 2013, Consolidado delimitación SEC-95 con ajustes de Contabilidad Nacional)",1,2,7,,8,4,2,2,"Ingresos patrimoniales (cánones, concesiones, etc.)",2,11,2,,"",,"",,,,,"",1,,3,"El Ayuntamiento se encuentra sujeto al Plan de Ajuste, no puede contraer nueva deuda.",2,,"",1,"Ditsrito","","","","",1,4,,4,3,,2,4,,4,3,,2,3,,3,4,,3,4,,4,2,,2,4,,4,3,,1,4,,4,4,,1,3,,4,2,,1,2,,4,3,,,,,,,,1,4,,1,4,,3,4,,3,3,,"Existen tres niveles de Gobierno: central, regional (autonómico) y local. En el nivel local se distinguen el nivel municipal y el distrital.",1,1,1,1,1,,1,,"Consejos Territoriales y Sectoriales.",2,"",1,,"Sistema general de sugerencias y reclamaciones y el sistema específico de Policía Municipal. A través de estos sistemas se pueden presentar reclamaciones y quejas de cualquier tipo.",1,,4,1,"apa Estratégico y Programa Operativo de Gobierno 2011- 2015",,,,1,,,,,1,,"",1,"Consorcio Regional de Transportes que rinde cuentas a la Asamblea de Madrid.",5,"Bus, metro y cercanías de tren (RENFE).","Medio Ambiente","Gobierno Abierto: Transparencia, Datos Abiertos y Participación Ciudadana","Empleo",,,,1,1,,,,"",,1,,,1,,,,,,,1,,"Desvinculación ciudadana de la gestión pública",1,2,4,,1,1,,2,4,,1,2,,2,4,,1,2,,2,4,,1,2,,1,4,,1,1,,1,4,,3,2,,1,4,,4,2,,,,,,,,,,,,,,1,3,,4,2,,1,3,,4,1,,1,1,,3,4,,1,1,,3,4,,3,4,,1,1,,2,4,,1,1,,2,4,,3,2,,2,4,,3,2,,1,1,,4,4,,1,1,,4,4,,1,4,,2,3,,"","",185,56.92,,39,"#VALUE!","#VALUE!"
"43","Málaga","Malaga","Spain","Southern Europe","Europe",218,"es",,,,,,,,,,,66,"Málaga",,,,,1,1,"",,,1,1,,,,,,,,,,,,,"",575127,"2013","Gestrisam. Ayuntamiento de Málaga","2011","55,59","2007","50,16","2004","56,27",7000,4,4,43,"740.413.701 (año 2012)",43,"748.538.926 (año 2012)",1,1,7,,9,3,2,,"",5,,2,,"",3,"",2,2,2,,"",1,,3,"",1,,"Área metropolitana de Málaga",1,"Distritos municipales","","","","",1,4,2,1,1,,1,4,2,2,1,,1,2,2,3,4,,1,3,2,3,3,,1,3,3,4,4,,1,4,1,1,1,,1,1,1,4,1,,1,1,1,4,1,,,,,,,,1,4,1,1,4,,1,3,1,3,3,,"",1,1,1,1,,,,,"",2,"",2,,"",1,,5,1,"Nuevos Rumbos. Reflexiones del II Plan Estratégico de Málaga para el 2020",1,1,1,,,,,,,,"",2,"",12,"No se puede hacer multiselección. Entrarían los 5 primeros modos más las calles y la gestión del tráfico.","Desempleo","Actividad económica","Mejoras medioambientales",,,1,1,1,,,,"",,,,,1,1,,,,,,,,"",1,1,4,2,3,3,,1,4,2,3,1,,1,4,2,2,1,,1,4,2,2,1,,1,4,2,2,1,,1,4,3,3,1,,1,4,3,3,1,,,,,,,,,,,,,,1,2,2,4,1,,1,2,2,4,1,,1,2,2,4,1,,1,2,2,4,1,,1,4,2,1,1,,1,4,2,1,1,,1,4,2,1,1,,1,4,2,1,1,,1,1,1,3,4,,1,1,1,3,4,,1,4,3,3,4,,"","",209,64.31,,39,"#VALUE!","#VALUE!"
"44","Maputo Municipality","Maputo","Mozambique","Eastern Africa","Africa",142,"en",,,,,,,,,,,158,"Maputo Municipality",,,,,1,1,"",1,,,,,,,,,,,,,,,,"Legislative: Municipal Assembly",1225869,"2014","","2013","299830","2008","296415","","",2897,1,2,85,"Meticais (MZU) 1855777000",,"Meticas (MZU) 1879807000",1,1,6,,4,3,2,2,"We dont sell land (assets+license to use (DUAT))",3,,6,2,"",11,"Land belong to the council he makes concession to use and settlements",,,,,"",2,,,"",2,,"",2,"","","","","",,4,,,3,,,4,,,3,,,2,,,4,,,3,,,4,,,2,,,4,,,4,,,2,,,2,,,3,,,2,,,4,,,3,,,4,,,2,,,4,,,3,,,4,,"Some Responsibilities under Transfer from central to local",1,1,1,,1,,,,"",2,"",,,"",,,,,"",,,,,,,,,,,"",,"",3,"Paratransit e.g. cycle taxi services, mini-bus services, taxi, bus, suburban trail, local roads, highways, main roads, traffic management","Informal Settlement Upgrading","Infrastructure","Transport-Public",,,,,,,1,,"",,1,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",73,22.46,,38,"#VALUE!","#VALUE!"
"45","Montería","Monteria","Colombia","South America","Latin America and the Caribbean",203,"es",,,,,,,,,,,47,"Montería",,,,,1,1,"",1,,,1,1,,,,,1,,1,,,,,"",409476,"2010","DANE","","","","","","",,,,,"",,"",1,1,,,,,,,"",,,,,"",,"",,,,,"",1,,2,"",,,"",1,"","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,"",3,"",1,,"Denuncia",1,,3,1,"PRIMERO MONTERIA, PRIMERO LA GENTE",,,,,,,,,,,"",2,"",,"","Corrupción","Clientelismo","Formación de los líderes",,,,,,,,,"",,1,,1,,1,,,,,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",39,12,,40,"#VALUE!","#VALUE!"
"46","Municipal Corporation of Toronto","Toronto","Canada","Northern America","Northern America",71,"en",,,,,,,,,,,36,"Municipal Corporation of Toronto",,,,,1,1,"",1,1,1,1,,,,,,,,,,,,,"",2700000,"2011","Census Canada","2010","46%","2006","45%","2002","40%",40000,1,3,25,"approximately $6 billion (check web sources, we are very transparent)",25,"$5.5 billion",2,1,11,,,11,,,"the water bill funds Toronto Water's budget.  We are 100% funded by the water rate",3,1,1,,"These are largely for capital projects or diverted to fund transit.  It is very political",3,"",3,2,2,,"",3,,2,"",2,,"",1,"Ward","Neighbourhood","","","",3,3,2,3,4,,3,3,1,,3,,2,3,1,,3,,3,3,1,,,,2,2,1,,,,4,4,1,,,,2,2,1,,,,3,2,1,,,,2,4,1,,,,1,4,1,,,,4,2,1,,,,"",1,1,1,1,,,,,"",2,"",1,,"waste and fraud hotline  ombudsman's office",1,,2,2,"City of Toronto Plan",,1,1,,,,1,,,,"",1,"The Toronto Transit Commission reports to a separate board",7,"","Transit","Affordable Housing","Economy",,1,1,,1,,,,"",1,1,,,,,1,1,,1,,,,"",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","There is a growing divide between elected officials and the bureaucrats",114,35.08,,39,"#VALUE!","#VALUE!"
"47","Municipalidad Provincial de Ilo","Ilo","Peru","South America","Latin America and the Caribbean",207,"es",,,,,,,,,,,173,"Municipalidad Provincial de Ilo",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",63780,"2007","CENSO DE VIVIENDA Y POBLACION (INEI)","2010","98%","2006","94%","2002","99%",112,8,5,106,"100591698",106,"141450010",1,1,3,,4,3,2,,"EL MAYOR PORCENTAJE DE INGRESOS SE ENCUENTRAN EN EL CANON QUE SON RECURSOS ORIENTADOS PARA INVERSIONES",,9,,,"CONFORMADO POR LOS RECURSOS Canon y sobrecanon, Regalías Renta de aduanas y participaciones en mayor cantidad y por el fondo de compensacion municipal que transfiere el Gobierno Nacional",3,"Superficie del territorio Provincial",2,2,5,5,"Gran parte del Territorio se encuentra concesionada a Empresa Minera, que compite en el manejo del territorio con los demas niveles de Gobierno.",1,,3,"Primero que esta sujeto a la Ley de Endeudamiento que lo administra el Gobierno Nacional,Segundo supeditado al bajo comportamiento de los ingresos por recursos propios (Impuestos, Tasas y Venta de bienes)",2,,"",1,"Distrito Algarrobal","Distrito Pacocha","","","",2,4,,3,3,,4,4,,2,2,,2,3,,4,4,,2,4,,3,1,,3,4,,4,4,,1,2,,3,4,,1,2,,4,3,,2,2,,4,4,,,,,,,,2,3,,3,4,,2,4,,3,3,,"Aun es debil el proceso de descentralizacion, se encuentra en fase de desarrollo con una alta resietencia de los Niveles Nacionales.",1,1,1,1,1,,,,"En nuestro Pais y Localidad se Practica, Planeamiento Concertado, Presupuesto participativo y Vigilancia ciudadana, nuestra realidad siendo pionera ha terminado empleando a estos espacios como una simple formalidad en estyos ultimos años.",1,"Mujeres  Jovenes y   Personas con limitaciones fisicas",1,,"Ley de transparencia y acceso a la informacion  Libro de reclamos  Peticion formal al titular  Peticion directa al responsable del Organo de Control  Denuncia a traves de Comite de Vigilancia ciudadana.  Defensoria del Pueblo.",1,,6,2,"PLAN DE DESARROLLO CONCERTADO DE LA PROVINCIA DE ILO",1,1,1,1,,,,1,,,"El planeamiento en nuestro Pais es una prioridad en la gestion publica, existe normas y directivas para formular aprobar, hacer seguimiento y monitoreo, sin embargo la debilidad se encuentra en las capacidades de las personas para conocer y manejar las herramientas, metodos y tecnologias.",3,"En nuestra ciudad existe una unidad organica de tercer nivel que se dedica mayormente a cautelar la formalidad del servicio publico de transportes y no para ver y manejar integralmente el transporte.",,"","Conocimiento y compromiso de autoridades para practicar gobernanza con participacion","Desconocimiento de las nuevas herramientas y tecnicas de Gobernanza en los cuadros tecnicos de la localidad","La precaria e inestable situacion socio economica de la poblacion que no le da tiempo para la participacion eficiente y por distorsionar la participacion a cambio de beneficio personal",,,,1,,,1,,"El Canon Minero que es el recurso que se ha incrementado considerablemente en los ultimos años, por un lado no ha sido debidamente regulado y por otro ha distorsionado la actitud de los ciudadanos respecto a la contribucion de impuestos y tasas y por la disputa extrema en la toma del poder Regional y Local.",1,1,1,1,,1,1,1,1,1,1,,,"Considero que la fase en que se encuentra el proceso de descentralizacion y las marchas y contramarchas en las politicas nacionales en nuestra localidad se ha generado una situacion que conflictua todo ambito de gestion del desarrollo integral.",1,,4,,4,,,,4,,3,,,,4,,4,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,"En nuestra realidad existen tres niveles de gobierno en materia de transporte y transito, uno el nivel local que tiene competencias sobre el transporte y sistema vial urbano, el Gobierno Regional que tienje competencia sobre el transporte y sistema vial interprovincial y el gobierno Nacional que es el organo rector y tiene competencia sobre el transporte y sistema vial Nacional e Internacional.","Creo, que la realidad exige a las localidades contar con mayores capacidades para enfrentar los retos y desafios del desarrollo, no solo debe limitarse a seguir el curso y periodicidad del proceso de descentralizacion que observa muchos accidentes, marchas y contramarchas en nuestro Pais, por ello es fundamental generar capacidades en sociedad civil y tecnicos.",146,44.92,,40,"#VALUE!","#VALUE!"
"48","MUNICIPALIDAD PROVINCIAL SAN ANTONIO DE PUTINA","Putina","Peru","South America","Latin America and the Caribbean",145,"es",,,,,,,,,,,173,"MUNICIPALIDAD PROVINCIAL SAN ANTONIO DE PUTINA",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",20792,"2004","INSTITUTO NACIONAL DE ESTADISTICA E INFORMATICA","2010","930500%","2006","846600%","","",,12,12,106,"19577445.56",106,"19577445.56",1,2,2,,2,,,,"",2,,,,"",11,"",11,11,11,11,"",1,,2,"",2,,"",1,"SANTIAGO GIRALDO","SAN ISIDRO","UNION PUTINA","HUAYNAPUTINA","SAN ANTONIO",2,2,1,4,4,,3,3,1,4,4,,1,2,1,1,1,,2,4,1,2,3,,2,2,1,3,2,,4,3,1,3,3,,3,3,1,3,3,,4,3,1,3,3,,,,,,,,3,3,1,3,4,,3,3,1,3,3,,"",,1,,,1,,,,"",2,"",1,,"SE CUENTA CON LA OFICINA DE PROCURADURIA MUNICIPAL",2,,,,"",,,,,,,,,1,,"",3,"",,"","SERVICIO DE LIMPIEZA DE CALIDAD","INSTALACION DEAGUA POTABLE Y ALCANTARILLADO","ORDENAMIENTO TERRITORIAL PROVINCIAL",,,,,,,1,,"",,1,,,,,,,,,,,,"",1,3,3,1,3,3,,3,3,1,1,1,,4,4,1,1,1,,4,4,1,1,1,,4,4,1,2,1,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES UNA CIUDAD CON UNA POBLACION URBANA QUE ESTA EN PLENO CRECIMIENTO","DEBO INDICAR QUE ALGUNAS PREGUNTAS FUERON DE FORMA GENERAL Y NO ESPEDIFICA, EN ESTAS ELECCIONES MUNICIPALES Y REGIONALES, LOS CANDIDATOS DEBEN TENER UNA FORMACION EN GESTION GUBERNAMENTAL O TENER AL MENOS QUE ES MUNICIPALIDAD Y MUNICIPIO, COMPETENCIAS EXCLUSIVAS, COMPARTIDAS EN LOS DIFERENTES NIVELES DE GOBIERNO, GRACIAS POR LA PREFERENCIA DE INVITARNOS",135,41.54,,38,"#VALUE!","#VALUE!"
"49","Municipality of Artik city","Artik","Armenia","Western Asia","Asia",51,"en",,,,,,,,,,,7,"Municipality of Artik city",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",19760,"2013","National Statistical Service of Republic of Armenia","2012","62","2008","66.5","2005","64.5",38,12,,4,"367252149",4,"362422338",1,2,4,,3,3,2,,"We  have  not  «Other»",8,,,,"We have not others",3,"",6,4,,4,"We  have  not  «National»",1,,3,"",2,,"",1,"State : Republic of Armenia","Region : Shirak","City : Artik city","","",,3,,2,4,1,,3,,2,4,1,,2,,2,4,1,,2,,1,4,1,,3,,1,4,2,,4,,1,1,1,,1,,2,4,1,,4,,2,4,2,,3,,1,4,2,,2,,2,4,1,,4,,2,3,2,"Local authority organize public consultations and the budget is adopted by the municipal assembly.  «Other» is NGO and other public associations",1,1,1,1,1,1,,,"",2,"",1,,"There is an internal audit department  in municipality. Th? internal audit department carries out anti-corruption monitoring of municipal organizations.",1,,2,1,"Tne four-year plan socio-economic development of Artik city",,,,,1,1,1,1,,,"",1,"",9,"","shortage of equipment to organize the collection and disposal of municipal solid waste","unsatisfactory state of the roads","unsatisfactory state of communal conditions of social, sporting, educational and cultural organizations in the municipality",,,,,1,,,,"Causes of disruptions is the global economic crisis, regional instability for the safety of life and the borders closed by the neighboring states.",1,1,,,1,1,1,1,1,1,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","no",124,38.15,,39,"#VALUE!","#VALUE!"
"50","Municipality of Hunedoara","Hunedoara","Romania","Eastern Europe","Europe",89,"en",,,,,,,,,,,189,"Municipality of Hunedoara",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",58755,"2012","City Hall","2014","46,17","2012","48,5","2010","55,3",178,2,1,43,"98.000.000",43,"90.000.000",1,1,4,,6,2,2,4,"",1,1,1,1,"",4,"",,9,3,,"",1,,3,"30%",2,,"",2,"","","","","",,4,,,,,,4,,,,,,4,,,,,,3,,,,,,4,,,,,,4,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,4,,,,,"",1,1,1,1,1,,,,"",2,"",1,,"",1,,1,2,"Strategic development",,,,,,,,1,,,"",2,"",10,"","youth unimolyment","industrial sites polution","empty commercial buildings",1,,,,1,,,,"",,,1,,,1,,,1,,1,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",80,24.62,,38,"#VALUE!","#VALUE!"
"51","MUNICIPALITY OF LATINA","Latina","Italy","Southern Europe","Europe",108,"en",,,,,,,,,,,109,"MUNICIPALITY OF LATINA",,,,,1,1,"",1,,1,,1,,1,,,,,,,,,1,"parliament, central government, regions",132632,"2014","financial balance sheet 2014 - Municipality of Latina","2011","79,09%","2007","82,28%","2002","81.32%",586,12,12,43,"203.199.965,94",43,"87.571.401,86",1,2,6,,6,2,2,4,"trasnfers, loans",3,,2,7,"regions including E.U. funds + private transfers",11,"",11,11,11,11,"",2,,,"",2,,"",2,"","","","","",4,4,1,3,1,,4,4,1,4,4,,4,3,1,4,4,,4,4,1,4,4,,4,4,1,4,4,,4,3,1,4,4,,2,2,1,4,2,,2,2,1,4,4,,4,4,1,2,1,,4,4,1,3,3,,4,4,1,2,2,,"",1,1,1,1,,,,,"",2,"",1,,"Three-year plan of anti guaranteed by the Secretary General of the Municipality",1,,4,1,"General development plan",1,1,1,,,1,,1,,,"",3,"",,"","redevelopement of the Latina seaside","redevelopement of the City centre","enviromental targets (blue tag; energy Plan)",,,1,,1,,,,"",1,,,,1,1,,,1,1,,,,"",1,4,4,1,1,1,,4,4,1,1,1,,4,2,1,1,1,,4,4,1,2,2,,4,4,1,2,2,,4,3,1,4,1,,4,4,1,4,3,,4,4,1,4,4,,4,4,1,4,4,,1,1,1,4,4,,1,1,1,4,4,,1,1,1,4,4,,1,1,1,4,4,,4,4,1,4,4,,4,4,1,1,1,,4,4,1,4,4,,4,4,1,4,4,,1,1,1,4,4,,1,1,1,4,4,,4,4,1,4,4,,"","",233,71.69,,38,"#VALUE!","#VALUE!"
